City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
298,Shenjiamen,CN,29.9576,122.298,59.18,97,82,7.7,light rain
299,Garissa,KE,-0.4536,39.6401,91.9,40,80,14.07,broken clouds
300,Farafangana,MG,-22.8167,47.8333,75.18,65,38,5.03,scattered clouds
301,San Juan,AR,-31.5375,-68.5364,80.2,36,2,7.94,clear sky
302,Baijiantan,CN,45.6333,85.1833,48.65,39,100,2.84,overcast clouds
303,Gigmoto,PH,13.7796,124.39,78.44,78,9,8.12,clear sky
304,Jijiga,ET,9.35,42.8,72.86,21,12,18.45,few clouds
305,Charyshskoye,RU,51.3978,83.5598,25.52,88,77,4.16,broken clouds
306,El Reno,US,35.5323,-97.955,60.01,44,1,21.85,clear sky
307,Alta Floresta,BR,-9.8756,-56.0861,83.7,70,100,1.34,overcast clouds
308,Padang,ID,-0.9492,100.3543,77.0,78,20,2.3,few clouds
309,Jacqueville,CI,5.2052,-4.4146,89.6,70,20,11.5,few clouds
310,Leningradskiy,RU,69.3833,178.4167,-20.31,100,98,1.66,overcast clouds
311,Aklavik,CA,68.2191,-135.0107,-18.4,76,100,2.3,overcast clouds
312,Lasa,IT,46.6166,10.7002,80.6,38,0,5.75,clear sky
313,Maxixe,MZ,-23.8597,35.3472,82.4,51,20,4.61,few clouds
314,Calamar,CO,10.2511,-74.9146,87.8,66,40,3.44,scattered clouds
315,Karpathos,GR,35.507,27.2132,60.8,63,20,16.11,few clouds
316,Komsomolskiy,UZ,40.4272,71.7189,46.4,31,0,4.61,clear sky
317,Lockhart,US,28.6194,-81.4426,64.99,42,1,17.27,clear sky
318,Lerwick,GB,60.1545,-1.1494,44.6,61,40,14.97,scattered clouds
319,Znamenskoye,RU,57.1281,73.8282,33.75,97,100,13.11,overcast clouds
320,Umm Kaddadah,SD,13.6017,26.6876,87.3,9,18,15.64,few clouds
321,Carlsbad,US,33.1581,-117.3506,61.0,67,90,4.83,overcast clouds
322,Launceston,AU,-41.45,147.1667,59.0,88,90,10.36,overcast clouds
323,Esmeraldas,BR,-19.7625,-44.3139,82.4,65,40,3.44,scattered clouds
324,Santa Maria Da Boa Vista,BR,-8.8078,-39.8256,95.83,28,67,10.29,broken clouds
325,Bonfim,BR,3.0833,-59.95,92.88,39,86,7.07,overcast clouds
326,Suoyarvi,RU,62.0833,32.35,32.9,98,100,2.21,snow
327,Hlinsko,CZ,49.7621,15.9076,42.01,80,99,7.0,overcast clouds
328,Camacha,PT,33.0833,-16.3333,66.2,63,40,11.5,scattered clouds
329,Ryazhsk,RU,53.7038,40.1109,34.68,98,100,8.14,snow
330,Sandnessjoen,NO,66.0217,12.6316,37.4,65,90,12.66,light rain
331,Sakaraha,MG,-22.9,44.5333,76.78,55,20,6.46,few clouds
332,Bilibino,RU,68.0546,166.4372,-10.39,90,100,7.29,overcast clouds
333,Lorengau,PG,-2.0226,147.2712,81.43,77,96,3.98,overcast clouds
334,Sakaiminato,JP,35.55,133.2333,62.6,55,40,9.22,scattered clouds
335,Vila Velha,BR,-20.3297,-40.2925,80.6,69,0,12.66,clear sky
336,Hualmay,PE,-11.0964,-77.6139,73.71,73,35,8.28,scattered clouds
337,San Cristobal,VE,7.7669,-72.225,78.8,89,75,4.61,fog
338,Rio Grande,BR,-32.035,-52.0986,77.0,57,40,13.8,light rain
339,Vardo,NO,70.3705,31.1107,32.94,71,98,5.19,overcast clouds
340,Mungwi,ZM,-10.1732,31.3694,64.63,91,56,5.17,light rain
341,Chumikan,RU,54.7183,135.315,29.32,97,100,19.24,snow
342,Bilma,NE,18.6853,12.9164,86.31,7,0,9.53,clear sky
343,Chuy,UY,-33.6971,-53.4616,72.59,57,60,7.74,broken clouds
344,Velyka Mykhaylivka,UA,47.0794,29.8514,50.18,82,100,16.49,light rain
345,Mae Hong Son,TH,19.3003,97.9685,81.54,44,96,1.68,overcast clouds
