City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
559,Ippy,CF,84.92,overcast clouds,6.2679,21.2247,
562,San Lorenzo,PY,80.6,few clouds,-25.3333,-57.5333,Hotel del Sur
565,Quatre Cocos,MU,80.01,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
577,Garowe,SO,87.1,clear sky,8.4054,48.4845,Curubo Hotel
580,Payyannur,IN,80.35,overcast clouds,12.1,75.2,Kavvayi Beach House
583,Road Town,VG,82.4,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
590,Machhlishahr,IN,82.4,haze,25.6833,82.4167,Dulhan pelece
591,Tadine,NC,76.1,moderate rain,-21.55,167.8833,
593,Mul,IN,89.4,clear sky,20.0667,79.6667,Taj Mahal
594,Sao Joao Da Barra,BR,86.0,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
602,Jacareacanga,BR,83.08,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
606,Todos Santos,MX,87.01,few clouds,23.45,-110.2167,Hotel California Todos Santos
607,Sorong,ID,79.57,moderate rain,-0.8833,131.25,The Waigo Hotel
610,Srivardhan,IN,79.29,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
612,Iquitos,PE,87.8,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
613,Axim,GH,83.41,light rain,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
614,Touros,BR,86.0,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
615,Tayu,ID,78.04,few clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
617,Lasem,ID,78.6,scattered clouds,-6.6922,111.4527,"Nyah Lasem | Museum, Guest House & Community Center"
619,Suchitlan,MX,80.6,clear sky,19.3667,-103.7167,Casa Copalli
629,Jadu,LY,77.97,clear sky,31.953000000000003,12.0261,سيفاو عبازة
630,Amahai,ID,78.67,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
631,Balikpapan,ID,77.94,overcast clouds,-1.2675,116.8289,ibis Balikpapan
634,Kilindoni,TZ,80.19,overcast clouds,-7.9139,39.6668,Bustani B&B
636,Miri,MY,77.0,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
637,Yaring,TH,78.67,scattered clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
643,San Carlos Del Zulia,VE,85.75,overcast clouds,9.0,-71.9135,Hotel El Manantial
647,Luwuk,ID,79.45,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
648,Pamekasan,ID,79.81,broken clouds,-7.1568,113.4746,OYO 3027 Griya Temenggungan Syariah
652,Saint-Georges,GD,84.2,few clouds,12.0564,-61.7485,Siesta Hotel
661,Mareeba,AU,75.2,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
662,Kununurra,AU,75.2,overcast clouds,-15.7667,128.7333,Hotel Kununurra
665,Wanning,CN,76.1,broken clouds,18.8003,110.3967,Paradise Hotel
667,Meulaboh,ID,77.41,overcast clouds,4.1363,96.1285,Kost Pria
669,Beruwala,LK,80.49,scattered clouds,6.4788,79.9828,The Palms Hotel
670,Santa Fe,AR,81.0,clear sky,-31.6333,-60.7,Conquistador Hotel
674,Mahibadhoo,MV,83.19,few clouds,3.7833,72.9667,Omadhoo Inn
676,Catamarca,AR,81.0,clear sky,-28.4696,-65.7852,Amerian Catamarca Park Hotel
680,Merauke,ID,76.37,overcast clouds,-8.4667,140.3333,PC
683,Pappinisseri,IN,80.42,overcast clouds,11.95,75.35,OYO 3961 Kairali Heritage
686,Buzmeyin,TM,75.2,broken clouds,38.0507,58.2056,
687,Portmore,JM,89.01,few clouds,17.9702,-76.8672,Salmon Way Inn
688,Pizarro,CO,81.07,light rain,4.9533,-77.366,Hotel Limonar
690,Osmena,PH,82.22,overcast clouds,10.5208,119.9258,Arjemarkyza Lodge
692,Conceicao Do Araguaia,BR,85.71,broken clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
694,Daru,PG,75.61,overcast clouds,-9.0763,143.2092,Daru Lodge
695,Puerto Escondido,MX,89.73,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
697,Barra Patuca,HN,82.35,clear sky,15.8,-84.2833,
